generation,fittness
0,2112.94
1,496.536
2,482.141
3,487.897
4,482.557
5,480.787
6,477.71
7,473.396
8,476.05
9,473.761
10,464.581
11,476.112
12,473.86
13,474.214
14,464.227
15,469.708
16,472.406
17,462.704
18,464.991
19,465.222
20,460.516
21,462.944
22,470.755
23,466.103
24,472.249
25,472.099
26,464.206
27,470.959
28,470.421
29,461.729
30,471.559
31,467.018
32,472.193
33,471.625
34,472.018
35,462.795
36,472.434
37,473.227
38,470.999
39,470.376
40,466.787
41,471.2
42,472.909
43,473.306
44,473.168
45,473.691
46,470.539
47,469.059
48,473.262
49,467.4
50,468.58
51,465.359
52,473.055
53,473.911
54,473.953
55,467.588
56,465.317
57,465.912
58,474.579
59,471.9
60,474.788
61,475.532
62,468.528
63,468.088
64,476.032
65,476.544
66,470.312
67,473.264
68,469.92
69,484.827
70,472.345
71,468.148
72,478.075
73,474.045
74,477.575
75,470.699
76,475.722
77,479.081
78,478.689
79,478.858
80,478.511
81,478.793
82,479.661
83,478.834
84,475.957
85,478.544
86,479.805
87,479.46
88,482.842
89,480.014
90,479.712
91,475.105
92,477.126
93,478.679
94,476.258
95,475.888
96,481.081
97,481.184
98,481.376
99,476.891
